t,x1,x2,x3
3.4700000000,-9.8392280355,-8.7401763099,29.9791496604
3.4800000000,-9.7209935230,-8.4582741442,30.0202209191
3.4900000000,-9.5873078382,-8.1796003517,30.0227750048
3.5000000000,-9.4401407176,-7.9080727832,29.9878652702
3.5100000000,-9.2816299447,-7.6472384104,29.9171167390
3.5200000000,-9.1140267924,-7.4002096459,29.8126347201
3.5300000000,-8.9396417752,-7.1696250088,29.6769070833
3.5400000000,-8.7607929677,-6.9576332349,29.5127060735
3.5500000000,-8.5797587741,-6.7658985074,29.3229946953
3.5600000000,-8.3987365790,-6.5956234648,29.1108415868
3.5700000000,-8.2198082250,-6.4475860646,28.8793470791
3.5800000000,-8.0449127884,-6.3221861996,28.6315819442
3.5900000000,-7.8758266915,-6.2194981267,28.3705392742
3.6000000000,-7.7141508338,-6.1393251691,28.0990990765
3.6100000000,-7.5613041404,-6.0812537201,27.8200045336
3.6200000000,-7.4185227321,-6.0447042051,27.5358484689
3.6300000000,-7.2868638061,-6.0289772973,27.2490683514
3.6400000000,-7.1672132682,-6.0332942637,26.9619481246
3.6500000000,-7.0602961673,-6.0568308286,26.6766252162
3.6600000000,-6.9666890370,-6.0987443485,26.3951012381
3.6700000000,-6.8868333276,-6.1581944036,26.1192550791
3.6800000000,-6.8210492143,-6.2343571348,25.8508572970
3.6900000000,-6.7695491711,-6.3264337900,25.5915849200
3.7000000000,-6.7324508082,-6.4336540235,25.3430359408
3.7100000000,-6.7097885711,-6.5552745156,25.1067429362
3.7200000000,-6.7015239910,-6.6905734743,24.8841853597
3.7300000000,-6.7075542588,-6.8388415488,24.6768001346
3.7400000000,-6.7277189660,-6.9993696493,24.4859902279
3.7500000000,-6.7618049124,-7.1714341293,24.3131309099
3.7600000000,-6.8095489376,-7.3542797564,24.1595734081
3.7700000000,-6.8706387710,-7.5471008862,24.0266456532
3.7800000000,-6.9447119398,-7.7490212595,23.9156497939
3.7900000000,-7.0313528099,-7.9590728748,23.8278561361
3.8000000000,-7.1300878738,-8.1761744484,23.7644931446
3.8100000000,-7.2403794401,-8.3991100596,23.7267331415
3.8200000000,-7.3616179294,-8.6265086975,23.7156733597
3.8300000000,-7.4931130347,-8.8568255668,23.7323120599
3.8400000000,-7.6340840688,-9.0883261673,23.7775195254
3.8500000000,-7.7836498978,-9.3190743391,23.8520039014
3.8600000000,-7.9408189401,-9.5469256236,23.9562720722
3.8700000000,-8.1044798027,-9.7695274352,24.0905860685
3.8800000000,-8.2733932184,-9.9843276249,24.2549158754
3.8900000000,-8.4461860353,-10.1885930239,24.4488899668
3.9000000000,-8.6213480868,-10.3794394447,24.6717454039
3.9100000000,-8.7972328185,-10.5538743516,24.9222798886
3.9200000000,-8.9720625633,-10.7088529664,25.1988087040
3.9300000000,-9.1439393100,-10.8413479169,25.4991299456
3.9400000000,-9.3108617044,-10.9484316704,25.8205017893
3.9500000000,-9.4707488264,-11.0273699412,26.1596356465
3.9600000000,-9.6214710081,-11.0757230717,26.5127088659
3.9700000000,-9.7608875857,-11.0914511567,26.8754000642
3.9800000000,-9.8868910308,-11.0730175406,27.2429491704
3.9900000000,-9.9974564015,-11.0194844142,27.6102428489
4.0000000000,-10.0906945290,-10.9305937467,27.9719241897
4.0100000000,-10.1649068623,-10.8068268494,28.3225235464
4.0200000000,-10.2186394815,-10.6494365933,28.6566053599
4.0300000000,-10.2507335225,-10.4604477200,28.9689239611
4.0400000000,-10.2603691778,-10.2426227304,29.2545799621
4.0500000000,-10.2471005878,-9.9993933398,29.5091681322
4.0600000000,-10.2108793219,-9.7347602064,29.7289077896
4.0700000000,-10.1520647541,-9.4531662428,29.9107477501
4.0800000000,-10.0714204129,-9.1593510072,30.0524397043
4.0900000000,-9.9700962674,-8.8581951495,30.1525763343
4.1000000000,-9.8495978022,-8.5545644931,30.2105932534
4.1100000000,-9.7117435575,-8.2531629992,30.2267366186
4.1200000000,-9.5586134808,-7.9584026681,30.2020007050
4.1300000000,-9.3924908906,-7.6742965776,30.1380415934
4.1400000000,-9.2158010726,-7.4043789945,30.0370742372
4.1500000000,-9.0310494989,-7.1516541271,29.9017605170
4.1600000000,-8.8407624167,-6.9185728770,29.7350955049
